,rank,number,name,location
183,184,6327,Ohio University,Athens
184,185,5035,"California State University, Fullerton",Fullerton
185,186,5285,Nova Southeastern University,Fort Lauderdale
186,187,6781,James Madison University,Harrisonburg
187,188,5765,Williams College,Williamstown
188,189,6790,Old Dominion University,Norfolk
189,190,6645,Baylor College of Medicine,Houston
190,191,5456,Southern Illinois University Carbondale,Carbondale
191,192,5231,Wesleyan University,Middletown
192,193,5832,Carleton College,Northfield
193,194,5746,Smith College,Northampton
194,195,6725,The University of Texas at San Antonio,San Antonio
195,196,5700,Berklee College of Music,Boston
196,197,6014,New Jersey Institute of Technology,Newark
197,198,6838,Western Washington University,Bellingham
198,199,6629,The University of Memphis,Memphis
199,200,6249,University of North Carolina at Greensboro,Greensboro
200,201,5756,University of Massachusetts Boston,Boston
201,202,5032,"California State University, Chico",Chico
202,203,6343,University of Dayton,Dayton
203,204,6105,Marist College,Poughkeepsie
204,205,5798,Grand Valley State University,Allendale
205,206,6125,Pace University,New York City
206,207,5780,Calvin University,Grand Rapids
207,208,6199,Appalachian State University,Boone
208,209,5335,Kennesaw State University,Kennesaw
209,210,6673,Texas State University,San Marcos
210,211,6193,Vassar College,Poughkeepsie
211,212,5370,Boise State University,Boise
212,213,5159,University of San Francisco,San Francisco
213,214,6417,Bryn Mawr College,Bryn Mawr
214,215,6516,Villanova University,Villanova
215,216,6211,East Carolina University,Greenville
216,217,5106,Pepperdine University,Malibu
217,218,5693,Amherst College,Amherst
218,219,6724,The University of Texas at El Paso,El Paso
219,220,5249,The Catholic University of America,Washington
220,221,5244,Howard University,Washington
221,222,5158,University of San Diego,San Diego
222,223,5707,Clark University,Worcester
223,224,6341,University of Akron,Akron
224,225,5199,University of Colorado Denver,Denver
225,226,5733,Mount Holyoke College,South Hadley
226,227,6418,Bucknell University,Lewisburg
227,228,6346,University of Toledo,Toledo
228,229,5960,Creighton University,Omaha
229,230,5041,"California State University, Sacramento",Sacramento
230,231,6309,Miami University,Oxford
231,232,6262,North Dakota State University,Fargo
232,233,5758,University of Massachusetts Lowell,Lowell
233,234,6048,Bard College,Annandale-on-Hudson
234,235,5883,University of Southern Mississippi,Hattiesburg
235,236,5029,"California State Polytechnic University, Pomona",Pomona
236,237,4969,Grand Canyon University,Phoenix
237,238,4967,Embry-Riddle Aeronautical University,Daytona Beach
238,239,5614,Western Kentucky University,Bowling Green
239,240,5481,Ball State University,Muncie
240,241,6266,University of North Dakota,Grand Forks
241,242,5046,Chapman University,Orange
242,243,5759,Wellesley College,Wellesley
243,244,5411,Illinois State University,Normal
244,245,6505,Thomas Jefferson University,Philadelphia
245,246,6091,Hofstra University,Hempstead
246,247,6553,Medical University of South Carolina,Charleston
247,248,6012,Montclair State University,Montclair
248,249,6719,University of Texas Southwestern Medical Center,Dallas
249,250,5086,Loyola Marymount University,Los Angeles
250,251,5558,University of Northern Iowa,Cedar Falls
251,252,6352,Wright State University,Dayton
252,253,6318,Oberlin College,Oberlin
253,254,6023,Seton Hall University,South Orange
254,255,5754,University of Massachusetts Medical School,Worcester
255,256,5974,University of Nebraska at Omaha,Omaha
256,257,6198,Yeshiva University,New York City
257,258,5639,Colby College,Waterville
258,259,5128,Sonoma State University,Rohnert Park
259,260,6543,College of Charleston,Charleston
260,261,5074,Humboldt State University,Arcata
261,262,5939,University of Missouri-St. Louis,St. Louis
262,263,6286,Cleveland State University,Cleveland
263,264,5372,Idaho State University,Pocatello
264,265,5638,Bowdoin College,Brunswick
265,266,6691,Texas Christian University,Fort Worth
266,267,6011,Monmouth University,West Long Branch
267,268,5813,Oakland University,Rochester Hills
268,269,5299,University of North Florida,Jacksonville
269,270,6187,The Rockefeller University,New York City
270,271,5265,Florida Institute of Technology,Melbourne
271,272,6812,Washington and Lee University,Lexington
272,273,5034,"California State University, Fresno",Fresno
273,274,6849,Marshall University,Huntington
274,275,5927,Missouri State University,Springfield
275,276,5042,"California State University, San Bernardino",San Bernardino
276,277,5795,Ferris State University,Big Rapids
277,278,5782,Central Michigan University,Mount Pleasant
278,279,5679,Towson University,Towson
279,280,6094,Ithaca College,Ithaca
280,281,6715,The University of Texas Health Science Center at San Antonio,San Antonio
281,282,6432,Duquesne University,Pittsburgh
282,283,5749,Suffolk University,Boston
283,284,6430,Dickinson College,Carlisle
284,285,6669,Sam Houston State University,Huntsville
285,286,5586,Wichita State University,Wichita
286,287,6399,Reed College,Portland
287,288,6251,University of North Carolina Wilmington,Wilmington
288,289,4949,The University of Alabama in Huntsville,Huntsville
289,290,6830,Seattle University,Seattle
290,291,6303,Kenyon College,Gambier
291,292,6598,East Tennessee State University,Johnson City
292,293,5595,Eastern Kentucky University,Richmond
293,294,5070,Harvey Mudd College,Claremont
294,295,6034,New Mexico Institute of Mining and Technology,Socorro
295,296,6587,University of South Dakota,Vermillion
296,297,6876,Medical College of Wisconsin,Milwaukee
297,298,6713,The University of Texas Health Science Center at Houston,Houston
298,299,6894,University of Wisconsin-Stevens Point,Stevens Point
299,300,5864,University of St. Thomas,Saint Paul
300,301,6408,Willamette University,Salem
301,302,5331,Georgia Southern University,Statesboro
302,303,6209,Davidson College,Davidson
303,304,5495,Indiana State University,Terre Haute
304,305,5176,Colorado School of Mines,Golden
305,306,5698,Babson College,Babson Park
306,307,5757,University of Massachusetts Dartmouth,North Dartmouth
307,308,6214,Elon University,Elon
308,309,5110,Pomona College,Claremont
309,310,5148,"University of California, Merced",Merced
310,311,5457,Southern Illinois University Edwardsville,Edwardsville
311,312,6019,Rowan University,Glassboro
312,313,6549,Furman University,Greenville
313,314,5486,Earlham College,Richmond
314,315,5938,Missouri University of Science and Technology,Rolla
315,316,5220,Trinity College,Hartford
316,317,6717,The University of Texas Medical Branch at Galveston,Galveston
317,318,5913,Maryville University,St. Louis
318,319,6384,Lewis &amp; Clark College,Portland
319,320,5842,"Minnesota State University, Mankato",Mankato
320,321,6084,Fashion Institute of Technology,New York City
321,322,5241,Gallaudet University,Washington
322,323,6148,St. John's University,Queens
323,324,5490,Hanover College,Hanover
324,325,6885,University of Wisconsin-Eau Claire,Eau Claire
325,326,5800,Hillsdale College,Hillsdale
326,327,5744,Simmons University,Boston
327,328,7705,United States Naval Academy,Annapolis
328,329,9103,Wheaton College,Wheaton
329,330,5681,University of Baltimore,Baltimore
330,331,5198,University of Colorado Colorado Springs,Colorado Springs
331,332,6658,Lamar University,Beaumont
332,333,9703,Rasmussen University,St. Cloud
333,334,5011,Biola University,La Mirada
334,335,5522,University of Evansville,Evansville
335,336,6820,The Evergreen State College,Olympia
336,337,5794,Eastern Michigan University,Ypsilanti
337,338,6086,Hamilton College,Clinton
338,339,6179,State University of New York at Oswego,Oswego
339,340,5975,University of Nebraska Medical Center,Omaha
340,341,5350,Savannah College of Art and Design,Savannah
341,342,6791,Radford University,Radford
342,343,6585,South Dakota State University,Brookings
343,344,6378,The University of Tulsa,Tulsa
344,345,6025,Stevens Institute of Technology,Hoboken
345,346,6740,Weber State University,Ogden
346,347,6070,Colgate University,Hamilton
347,348,6718,University of Texas Rio Grande Valley,Edinburg
348,349,5162,University of the Pacific,Stockton
349,350,6050,Barnard College,New York City
350,351,6815,Central Washington University,Ellensburg
351,352,6440,Gettysburg College,Gettysburg
352,353,5043,California State University San Marcos,San Marcos
353,354,5293,Stetson University,DeLand
354,355,6444,Haverford College,Haverford
355,356,5038,"California State University, Los Angeles",Los Angeles
356,357,6006,Fairleigh Dickinson University,Teaneck
357,358,6495,Saint Joseph's University,Philadelphia
358,359,5833,College of Saint Benedict/Saint John's University,St. Joseph
359,360,5942,Webster University,St. Louis
360,361,6189,Union College,Schenectady
361,362,6458,Lock Haven University,Lock Haven
362,363,5708,College of the Holy Cross,Worcester
363,364,6822,Gonzaga University,Spokane
364,365,5313,Augusta University,Augusta
365,366,6530,Rhode Island School of Design,Providence
366,367,6886,University of Wisconsin-Green Bay,Green Bay
367,368,5175,Colorado College,Colorado Springs
368,369,4978,Arkansas State University,Jonesboro
369,370,5811,Northern Michigan University,Marquette
370,371,5670,Loyola University Maryland,Baltimore
371,372,6069,Clarkson University,Potsdam
372,373,4991,University of Arkansas at Little Rock,Little Rock
373,374,6701,Trinity University,San Antonio
374,375,6018,Rider University,Lawrenceville
375,376,7288,Brigham Young University-Idaho,Rexburg
376,377,6492,Shippensburg University of Pennsylvania,Shippensburg
377,378,5637,Bates College,Lewiston
378,379,5540,Grinnell College,Grinnell
379,380,5478,Western Illinois University,Macomb
380,381,5634,University of Louisiana at Lafayette,Lafayette
381,382,6142,Skidmore College,Saratoga Springs
382,383,5485,DePauw University,Greencastle
383,384,9658,Long Island University,Brookville
384,385,5841,Macalester College,Saint Paul
385,386,5084,Loma Linda University,Loma Linda
386,387,5044,"California State University, Stanislaus",Turlock
387,388,6026,The College of New Jersey,Ewing
388,389,5386,Bradley University,Peoria
389,390,5033,"California State University, Dominguez Hills",Carson
390,391,5859,St. Olaf College,Northfield
391,392,6165,SUNY College of Environmental Science and Forestry,Syracuse
392,393,6158,SUNY Geneseo,Geneseo
393,394,7685,The Culinary Institute of America,Hyde Park
394,395,6887,University of Wisconsin-La Crosse,La Crosse
395,396,5206,Central Connecticut State University,New Britain
396,397,5713,Emerson College,Boston
397,398,5526,Valparaiso University,Valpara&iacute;so
398,399,6254,Western Carolina University,Cullowhee
399,400,6232,North Carolina Agricultural and Technical State University,Greensboro
400,401,5208,Connecticut College,New London
401,402,5201,University of Northern Colorado,Greeley
402,403,5699,Bentley University,Waltham
403,404,6447,Indiana University of Pennsylvania,Indiana
404,405,5398,Eastern Illinois University,Charleston
405,406,5635,University of New Orleans,New Orleans
406,407,5264,Florida Gulf Coast University,Fort Myers
407,408,6518,West Chester University of Pennsylvania,West Chester
408,409,5605,Northern Kentucky University,Highland Heights
409,410,5483,Butler University,Indianapolis
410,411,5394,DeVry University,Naperville
411,412,6131,Pratt Institute,Brooklyn
412,413,5303,University of West Florida,Pensacola
413,414,5098,Occidental College,Los Angeles
414,415,6090,Hobart and William Smith Colleges,Geneva
415,416,6140,School of Visual Arts,New York City
416,417,6798,Sweet Briar College,Sweet Briar
417,418,5705,Bridgewater State University,Bridgewater
418,419,6630,The University of Tennessee at Chattanooga,Chattanooga
419,420,4995,University of Central Arkansas,Conway
420,421,5536,Drake University,Des Moines
421,422,5009,Azusa Pacific University,Azusa
422,423,5719,Hampshire College,Amherst
423,424,6396,Pacific University,Forest Grove
424,425,5246,National Defense University,Fort Lesley J McNair
425,426,6141,Siena College,Loudonville
426,427,5857,St. Cloud State University,St. Cloud
427,428,6041,Adelphi University,Garden City
428,429,5108,Pitzer College,Claremont
429,430,6353,Xavier University,Cincinnati
430,431,5145,"University of California College of the Law, San Francisco",San Francisco
431,432,5094,Naval Postgraduate School,Monterey
432,433,6186,The Juilliard School,New York City
433,434,6623,Tennessee Tech University,Cookeville
434,435,16865,Miami Dade College,Miami
435,436,5390,Columbia College Chicago,Chicago
