,rank,number,name,location
664,665,6400,Southern Oregon University,Ashland
665,666,5437,National Louis University,Chicago
666,667,5955,Bellevue University,Bellevue
667,668,5802,Kalamazoo College,Kalamazoo
668,669,6594,Carson-Newman University,Jefferson City
669,670,6726,The University of Texas at Tyler,Tyler
670,671,6278,Capital University,Columbus
671,672,5676,St. Mary's College of Maryland,St. Mary's City
672,673,6760,Vermont Law School,South Royalton
673,674,5343,Morehouse School of Medicine,Atlanta
674,675,6163,"Purchase College, State University of New York",Purchase
675,676,6795,Roanoke College,Salem
676,677,6537,Bob Jones University,Greenville
677,678,6893,University of Wisconsin-River Falls,River Falls
678,679,6521,Wilkes University,Wilkes-Barre
679,680,6147,St. John Fisher University,Rochester
680,681,5363,Hawaii Pacific University,Honolulu
681,682,5546,Luther College,Decorah
682,683,5320,Columbus State University,Columbus
683,684,5731,Merrimack College,North Andover
684,685,5178,Colorado Technical University,Colorado Springs
685,686,6512,The University of the Arts,Philadelphia
686,687,6471,Pennsylvania Academy of the Fine Arts,Philadelphia
687,688,5860,The College of St. Scholastica,Duluth
688,689,5850,Minnesota State University Moorhead,Moorhead
689,690,6572,Wofford College,Spartanburg
690,691,5867,Winona State University,Winona
691,692,6772,Eastern Virginia Medical School,Norfolk
692,693,5920,Northwest Missouri State University,Maryville
693,694,5505,Indiana Wesleyan University,Marion
694,695,6868,Carthage College,Kenosha
695,696,5893,University of Central Missouri,Warrensburg
696,697,5718,Gordon College,Wenham
697,698,6424,Chatham University,Pittsburgh
698,699,5222,University of Bridgeport,Bridgeport
699,700,6584,South Dakota School of Mines and Technology,Rapid City
700,701,5817,Saginaw Valley State University,University Center
701,702,5660,Bowie State University,Bowie
702,703,6172,SUNY Polytechnic Institute,Utica
703,704,5382,Benedictine University,Lisle
704,705,6013,New Jersey City University,Jersey City
705,706,6269,Antioch University,Yellow Springs
706,707,6052,Brooklyn Law School,Brooklyn
707,708,5232,Western Connecticut State University,Danbury
708,709,4953,University of North Alabama,Florence
709,710,5585,Washburn University,Topeka
710,711,6667,Prairie View A&amp;M University,Prairie View
711,712,5421,Knox College,Galesburg
712,713,5431,Midwestern University,Downers Grove
713,714,5593,Centre College,Danville
714,715,4928,Auburn University at Montgomery,Montgomery
715,716,6493,Slippery Rock University of Pennsylvania,Slippery Rock
716,717,5806,Lawrence Technological University,Southfield
717,718,6497,Susquehanna University,Selinsgrove
718,719,6884,St. Norbert College,De Pere
719,720,6611,Lipscomb University,Nashville
720,721,5315,Berry College,Mount Berry
721,722,5741,Regis College,Weston
722,723,5439,North Park University,Chicago
723,724,6599,Fisk University,Nashville
724,725,6215,Fayetteville State University,Fayetteville
725,726,6169,SUNY Empire State College,Saratoga Springs
726,727,5875,Mississippi College,Clinton
727,728,5445,Olivet Nazarene University,Bourbonnais
728,729,6551,Lander University,Greenwood
729,730,6703,University of Dallas,Irving
730,731,6688,Texas A&amp;M University-Kingsville,Kingsville
731,732,7697,Pennsylvania College of Technology,Williamsport
732,733,6345,Grove City College,Grove City
733,734,6123,Niagara University,Niagara University
734,735,6410,Allegheny College,Meadville
735,736,6063,"Lehman College, CUNY",The Bronx
736,737,6809,Virginia State University,Petersburg
737,738,6573,Augustana University,Sioux Falls
738,739,6771,Eastern Mennonite University,Harrisonburg
739,740,5099,Otis College of Art and Design,Los Angeles
740,741,5257,Eckerd College,Saint Petersburg
741,742,5426,Lewis University,Romeoville
742,743,4983,Hendrix College,Conway
743,744,5831,Bethel University,Saint Paul
744,745,6192,Utica University,Utica
745,746,5519,Taylor University,Upland
746,747,7278,Western University of Health Sciences,Pomona
747,748,5991,Keene State College,Keene
748,749,5763,"Wheaton College, Massachusetts",Norton
749,750,6788,Norfolk State University,Norfolk
750,751,11688,Keiser University,Fort Lauderdale
751,752,6307,Marietta College,Marietta
752,753,5823,University of Michigan-Flint,Flint
753,754,6467,Moravian University,Bethlehem
754,755,6514,Ursinus College,Collegeville
755,756,4979,Arkansas Tech University,Russellville
756,757,5272,Florida Southern College,Lakeland
757,758,5725,Massachusetts College of Art and Design,Boston
758,759,6438,Gannon University,Erie
759,760,5167,Westmont College,Santa Barbara
760,761,5774,Baker College,Owosso
761,762,6787,Marymount University,Arlington
762,763,14935,SIT Graduate Institute,Brattleboro
763,764,5185,Colorado Mesa University,Grand Junction
764,765,5174,Colorado Christian University,Lakewood
765,766,5280,Jacksonville University,Jacksonville
766,767,6459,Lycoming College,Williamsport
767,768,16911,South University,Savannah
768,769,5168,Whittier College,Whittier
769,770,6784,University of Lynchburg,Lynchburg
770,771,6869,Concordia University Wisconsin,Mequon
771,772,5747,Springfield College,Springfield
772,773,5911,Lindenwood University,St. Charles
773,774,5555,St. Ambrose University,Davenport
774,775,6683,Texas A&amp;M International University,Laredo
775,776,6733,Utah Tech University,St. George
776,777,6896,University of Wisconsin-Superior,Superior
777,778,5691,McDaniel College,Westminster
778,779,6532,Salve Regina University,Newport
779,780,5402,Governors State University,University Park
780,781,6315,Muskingum University,New Concord
781,782,6620,Southern Adventist University,Collegedale
782,783,6228,Meredith College,Raleigh
783,784,16905,Seminole State College of Florida,Sanford
784,785,5636,Xavier University of Louisiana,New Orleans
785,786,17714,University of Michigan-Dearborn,Dearborn
786,787,5901,Drury University,Springfield
787,788,5761,Western New England University,Springfield
788,789,5396,Dominican University,River Forest
789,790,16903,Santa Fe College,Gainesville
790,791,6190,United States Merchant Marine Academy,Kings Point
791,792,6610,Lincoln Memorial University,Harrogate
792,793,6218,Guilford College,Greensboro
793,794,5014,California Baptist University,Riverside
794,795,16837,Florida State College at Jacksonville,Jacksonville
795,796,5845,Mayo Clinic College of Medicine and Science,Rochester
796,797,5924,Rockhurst University,Kansas City
797,798,6240,Queens University of Charlotte,Charlotte
798,799,6687,Texas A&amp;M University at Galveston,Galveston
799,800,6344,University of Findlay,Findlay
800,801,4923,Alabama A&amp;M University,Huntsville
801,802,5948,Montana State University Billings,Billings
802,803,6449,King's College,Wilkes-Barre
803,804,7687,DeSales University,Center Valley
804,805,6364,Oklahoma City University,Oklahoma City
805,806,6628,Union University,Jackson
806,807,5254,Bethune-Cookman University,Daytona Beach
807,808,5319,Clayton State University,Morrow
808,809,5631,Southern University and A&amp;M College,Baton Rouge
809,810,5283,New College of Florida,Sarasota
810,811,5717,Franklin W. Olin College of Engineering,Needham
811,812,5251,University of the District of Columbia,Washington
812,813,5361,Brigham Young University-Hawaii,Laie
813,814,6814,Bastyr University,Kenmore
814,815,6581,Northern State University,Aberdeen
815,816,5880,Tougaloo College,Tougaloo
816,817,6393,Oregon Institute of Technology,Klamath Falls
817,818,6088,Hartwick College,Oneonta
818,819,5388,Chicago State University,Chicago
819,820,16800,Bellevue College,Bellevue
820,821,6448,Juniata College,Huntingdon
821,822,6078,D'Youville College,Buffalo
822,823,6705,University of Houston-Clear Lake,Houston
823,824,5616,Dillard University,New Orleans
824,825,5922,Park University,Parkville
825,826,5617,Grambling State University,Grambling
826,827,6434,Eastern University,St. Davids
827,828,6427,PennWest Clarion,Clarion
828,829,6351,Wittenberg University,Springfield
829,830,5422,Lake Forest College,Lake Forest
830,831,5374,Northwest Nazarene University,Nampa
831,832,5433,Moody Bible Institute,Chicago
832,833,6523,York College of Pennsylvania,York
833,834,6779,Hollins University,Roanoke
834,835,5057,Concordia University Irvine,Irvine
835,836,6360,Northeastern State University,Tahlequah
836,837,5116,San Francisco Art Institute,San Francisco
837,838,5156,University of La Verne,La Verne
838,839,5516,Saint Mary's College,Notre Dame
839,840,5950,Montana Tech,Butte
840,841,5507,Marian University,Indianapolis
841,842,5598,Kentucky State University,Frankfort
842,843,6642,Austin College,Sherman
843,844,5812,Northwood University,Midland
844,845,5847,Minneapolis College of Art and Design,Minneapolis
845,846,6706,University of Houston-Downtown,Houston
846,847,5209,Eastern Connecticut State University,Willimantic
847,848,5866,Mitchell Hamline School of Law,Saint Paul
848,849,5221,United States Coast Guard Academy,New London
849,850,5511,Purdue University Northwest,Hammond
850,851,6380,Eastern Oregon University,La Grande
851,852,5748,Stonehill College,Easton
852,853,5380,Aurora University,Aurora
853,854,6044,Albany Medical College,Albany
854,855,6595,Christian Brothers University,Memphis
855,856,5858,Saint Mary's University of Minnesota,Winona
856,857,6433,East Stroudsburg University,East Stroudsburg
857,858,5760,Wentworth Institute of Technology,Boston
858,859,6443,Gwynedd Mercy University,Gwynedd Valley
859,860,5533,Cornell College,Mount Vernon
860,861,5260,Flagler College,St. Augustine
861,862,6374,University of Central Oklahoma,Edmond
862,863,6093,Iona University,New Rochelle
863,864,5600,Lindsey Wilson College,Columbia
864,865,5736,New England Conservatory,Boston
865,866,16817,College of Southern Nevada,Las Vegas
866,867,16804,University of Massachusetts Global,Irvine
867,868,6435,PennWest Edinboro,Edinboro
868,869,16844,Herzing University,Madison
869,870,5856,Southwest Minnesota State University,Marshall
870,871,6647,Concordia University Texas,Austin
871,872,5286,Palm Beach Atlantic University,West Palm Beach
872,873,5622,Louisiana State University in Shreveport,Shreveport
873,874,5239,Wilmington University,New Castle
874,875,5628,Northwestern State University of Louisiana,Natchitoches
875,876,5282,Lynn University,Boca Raton
876,877,16945,Vincennes University,Vincennes
877,878,5625,McNeese State University,Lake Charles
878,879,6457,Lincoln University,Lincoln University
879,880,16894,Rogers State University,Claremore
880,881,6663,Midwestern State University,Wichita Falls
881,882,6463,Mercyhurst University,Erie
882,883,6489,Robert Morris University,Moon Township
883,884,5109,Point Loma Nazarene University,San Diego
884,885,6150,St. Joseph's University,Brooklyn
885,886,5837,"Concordia University, St. Paul",Saint Paul
886,887,16928,University of North Texas Health Science Center,Fort Worth
887,888,6113,Nazareth College,Rochester
888,889,4939,Spring Hill College,Mobile
889,890,5308,Albany State University,Albany
890,891,5610,Transylvania University,Lexington
891,892,6867,Carroll University,Waukesha
892,893,5373,Lewis-Clark State College,Lewiston
893,894,5716,Framingham State University,Framingham
894,895,5530,Central College,Pella
895,896,6777,Hampden-Sydney College,Hampden-Sydney
896,897,5432,Millikin University,Decatur
897,898,6767,Bridgewater College,Bridgewater
898,899,6502,Curtis Institute of Music,Philadelphia
899,900,4955,The University of West Alabama,Livingston
900,901,5830,Bemidji State University,Bemidji
901,902,6234,University of North Carolina School of the Arts,Winston-Salem
902,903,5529,Buena Vista University,Storm Lake
903,904,6031,Eastern New Mexico University,Portales
904,905,5562,Wartburg College,Waverly
905,906,5475,University of St. Francis,Joliet
906,907,6104,Manhattanville College,Purchase
907,908,5853,University of Northwestern - St. Paul,Saint Paul
908,909,5615,Centenary College of Louisiana,Shreveport
909,910,16830,ECPI University,Virginia Beach
910,911,14452,Cornerstone University,Grand Rapids
911,912,6349,Walsh University,North Canton
912,913,5640,College of the Atlantic,Bar Harbor
913,914,5532,Coe College,Cedar Rapids
914,915,6727,The University of Texas Permian Basin,Odessa
915,916,5588,Asbury University,Wilmore
916,917,6168,Farmingdale State College,Farmingdale
917,918,6863,Alverno College,Milwaukee
918,919,6519,"Westminster College, Pennsylvania",New Wilmington
919,920,6455,Lebanon Valley College,Annville
920,921,6120,New York Medical College,Valhalla
921,922,6439,Geneva College,Beaver Falls
922,923,7276,Alliant International University,San Diego
923,924,6671,South Texas College of Law,Houston
924,925,5337,Life University,Marietta
925,926,6047,Bank Street College of Education,New York City
926,927,5554,Simpson College,Indianola
927,928,6461,Marywood University,Scranton
928,929,6796,Shenandoah University,Winchester
929,930,5976,Wayne State College,Wayne
930,931,6898,Viterbo University,La Crosse
931,932,5560,Upper Iowa University,Fayette
932,933,5287,Ringling College of Art and Design,Sarasota
933,934,6253,Warren Wilson College,Swannanoa
934,935,4984,John Brown University,Siloam Springs
935,936,5727,MCPHS University,Boston
936,937,5910,"Lincoln University, Missouri",Jefferson City
937,938,6356,Cameron University,Lawton
938,939,5580,Southwestern College,Winfield
939,940,5203,Western Colorado University,Gunnison
940,941,5462,Saint Xavier University,Chicago
941,942,6412,Alvernia University,Reading
942,943,5195,United States Air Force Academy,Colorado Springs
943,944,6370,Southeastern Oklahoma State University,Durant
944,945,6708,University of Mary Hardin-Baylor,Belton
945,946,6287,Mount St. Joseph University,Cincinnati
946,947,6548,Francis Marion University,Florence
947,948,6614,Meharry Medical College,Nashville
948,949,6371,Southern Nazarene University,Bethany
949,950,7708,Washington &amp; Jefferson College,Washington
950,951,14919,Endicott College,Beverly
951,952,6488,Point Park University,Pittsburgh
952,953,6496,Saint Vincent College,Latrobe
953,954,7678,The American College of Financial Services,King of Prussia
954,955,6882,Ripon College,Ripon
955,956,6840,Whitworth University,Spokane
956,957,6385,Linfield University,McMinnville
957,958,6363,Oklahoma Christian University,Edmond
958,959,16871,Morrisville State College,Morrisville
959,960,5992,New England College,Henniker
960,961,5202,Colorado State University-Pueblo,Pueblo
961,962,6853,Shepherd University,Shepherdstown
962,963,6256,Winston-Salem State University,Winston-Salem
963,1083,6057,Brooklyn College,Brooklyn
964,964,5896,Columbia College,Columbia
965,965,5362,Chaminade University of Honolulu,Honolulu
966,966,5596,Georgetown College,Georgetown
967,967,5768,Adrian College,Adrian
968,968,16938,University of South Carolina-Aiken,Aiken
969,969,5641,Husson University,Bangor
970,970,5661,Capitol Technology University,Laurel
971,971,5365,University of Hawaii at Hilo,Hilo
972,972,6335,Shawnee State University,Portsmouth
973,973,6870,Edgewood College,Madison
974,974,6409,Albright College,Reading
975,975,5791,Davenport University,Grand Rapids
976,976,5626,Nicholls State University,Thibodaux
977,977,5131,Southern California Institute of Architecture,Los Angeles
978,978,5946,Carroll College,Helena
979,979,5770,Alma College,Alma
980,980,6110,Molloy University,Rockville Centre
981,981,5877,Mississippi University for Women,Columbus
982,982,6373,Southwestern Oklahoma State University,Weatherford
983,983,5701,Boston Architectural College,Boston
984,984,6862,Wheeling University,Wheeling
985,985,5124,Scripps College,Claremont
986,986,9113,Keck Graduate Institute,Claremont
987,987,5566,Benedictine College,Atchison
988,988,16880,Palm Beach State College,Lake Worth
989,989,5662,Notre Dame of Maryland University,Baltimore
990,990,6665,Our Lady of the Lake University,San Antonio
991,991,5767,Worcester State University,Worcester
992,992,5535,Dordt University,Sioux Center
993,993,5103,Pacific Union College,Angwin
994,994,5023,California State University Maritime Academy,Vallejo
995,995,6557,Presbyterian College,Clinton
996,996,6137,The Sage Colleges,Troy
997,997,6604,King University,Bristol
998,998,6334,Otterbein University,Westerville
999,999,5578,Ottawa University,Ottawa
1000,1000,11676,Southwestern Law School,Los Angeles
1001,1001,5467,Trinity International University,Deerfield
1002,1002,5715,Fitchburg State University,Fitchburg
1003,1003,5642,Maine College of Art,Portland
1004,1004,5521,Trine University,Angola
1005,1005,9107,A.T. Still University,Kirksville
1006,1006,5872,Delta State University,Cleveland
1007,1007,6574,Black Hills State University,Spearfish
1008,1008,5603,Morehead State University,Morehead
1009,1009,16914,St John's College,Annapolis
1010,1010,6079,Daemen University,Amherst
1011,1011,6295,Heidelberg University,Tiffin
1012,1012,6236,North Carolina Wesleyan University,Rocky Mount
1013,1013,5846,Metropolitan State University,Saint Paul
1014,1014,16940,University of South Carolina-Upstate,Spartanburg
1015,1015,5502,Indiana University South Bend,South Bend
1016,1016,6061,"Hunter College, CUNY",New York City
1017,1017,5968,Nebraska Wesleyan University,Lincoln
1018,1018,6265,University of Mary,Bismarck
1019,1019,5499,Indiana University Southeast,New Albany
1020,1020,5684,University of Maryland Eastern Shore,Princess Anne
1021,1021,6858,West Virginia State University,Institute
1022,1022,5171,Adams State University,Alamosa
1023,1023,6831,Saint Martin's University,Lacey
1024,1024,5582,Sterling College,Sterling
1025,1025,6033,New Mexico Highlands University,Las Vegas
1026,1026,6292,Franciscan University of Steubenville,Steubenville
1027,1027,7694,Paul Smith's College,Paul Smiths
1028,1028,5969,Peru State College,Peru
1029,1029,4957,Alaska Pacific University,Anchorage
1030,1030,7692,Monroe College,The Bronx
1031,1031,5739,Nichols College,Dudley
1032,1032,6792,Randolph-Macon College,Ashland
1033,1033,5900,Chamberlain University,Addison
1034,1034,5506,Manchester University,North Manchester
1035,1035,6648,Dallas Baptist University,Dallas
1036,1036,6538,Charleston Southern University,Charleston
1037,1037,6082,Elmira College,Elmira
1038,1038,6810,Virginia Union University,Richmond
1039,1039,6522,Wilson College,Chambersburg
1040,1040,6833,Trinity Washington University,Washington
1041,1041,6225,Lenoir-Rhyne University,Hickory
1042,1042,5885,William Carey University,Hattiesburg
1043,1043,6711,University of St. Thomas,Houston
1044,1044,6133,Roberts Wesleyan University,Rochester
1045,1045,5194,Naropa University,Boulder
1046,1046,6866,Cardinal Stritch University,Milwaukee
1047,1047,5772,Aquinas College,Grand Rapids
1048,1048,5738,New England Law | Boston,Boston
1049,1049,5918,Missouri Western State University,St. Joseph
1050,1050,6238,Pfeiffer University,Misenheimer
1051,1051,14911,Bay Path University,Longmeadow
1052,1052,5482,Bethel College,North Newton
1053,1053,4971,Prescott College,Prescott
1054,1054,6074,The College of Saint Rose,Albany
1055,1055,5346,Oglethorpe University,Atlanta
1056,1056,6586,University of Sioux Falls,Sioux Falls
1057,1057,5290,Southeastern University,Lakeland
1058,1058,5870,Belhaven University,Jackson
1059,1059,5745,Bard College at Simon's Rock,Great Barrington
1060,1060,5647,Unity College,New Gloucester
1061,1061,6773,Emory &amp; Henry College,Emory
1062,1062,5959,"Concordia University, Nebraska",Seward
1063,1063,4986,Ouachita Baptist University,Arkadelphia
1064,1064,5714,Emmanuel College,Boston
1065,1065,6282,Central State University,Wilberforce
1066,1066,5081,La Sierra University,Riverside
1067,1067,5351,Savannah State University,Savannah
1068,1068,5531,Clarke University,Dubuque
1069,1069,5962,Doane University,Crete
1070,1070,5155,American Jewish University,Los Angeles
1071,1071,6811,Virginia Wesleyan University,Virginia Beach
1072,1072,5538,Graceland University,Lamoni
1073,1073,6357,East Central University,Ada
1074,1074,16949,West Coast University-Los Angeles,North Hollywood
1075,1075,6167,Alfred State College,Alfred
1076,1076,6277,Bryant and Stratton College,Buffalo
1077,1077,5491,Huntington University,Huntington
1078,1078,5065,Fresno Pacific University,Fresno
1079,1079,5550,Mount Mercy University,Cedar Rapids
1080,1080,6836,Walla Walla University,College Place
1081,1081,5664,Coppin State University,Baltimore
1082,1082,6230,Montreat College,Montreat
1083,1084,5868,Alcorn State University,Lorman
1084,1085,4924,Alabama State University,Montgomery
1085,1086,5117,San Francisco Conservatory of Music,San Francisco
1086,1087,11686,Daytona State College,Daytona Beach
1087,1088,6626,Trevecca Nazarene University,Nashville
1088,1089,5874,Millsaps College,Jackson
1089,1090,6748,Goddard College,Plainfield
1090,1091,5403,Greenville University,Greenville
1091,1092,6470,Neumann University,Aston
1092,1093,6423,Cedar Crest College,Allentown
1093,1094,6419,Cabrini University,Radnor
1094,1095,16917,State College of Florida-Manatee-Sarasota,Bradenton
1095,1096,4988,Southern Arkansas University,Magnolia
1096,1097,6164,SUNY Cobleskill,Cobleskill
1097,1098,6173,SUNY Maritime College,Throggs Neck
1098,1099,4929,Birmingham-Southern College,Birmingham
1099,1100,5292,St. Thomas University,Miami Gardens
1100,1101,5915,Missouri Southern State University,Joplin
1101,1102,6229,Methodist University,Fayetteville
1102,1103,5643,Maine Maritime Academy,Castine
1103,1104,4931,Faulkner University,Montgomery
1104,1105,5552,Northwestern College,Orange City
1105,1106,6008,Felician University,Lodi
1106,1107,6284,Cleveland Institute of Art,Cleveland
1107,1108,9461,Dalton State College,Dalton
1108,1109,6043,Albany Law School,Albany
1109,1110,4952,University of Montevallo,Montevallo
1110,1111,5710,Curry College,Milton
1111,1112,6103,Manhattan School of Music,New York City
1112,1113,5672,Mount St. Mary's University,Emmitsburg
1113,1114,6535,Anderson University,Anderson
1114,1115,5113,Samuel Merritt University,Oakland
1115,1116,5571,Friends University,Wichita
1116,1117,16859,Louisiana State University Health Sciences Center-Shreveport,Shreveport
1117,1118,16910,South Texas College,McAllen
1118,1119,5556,University of Dubuque,Dubuque
1119,1120,5138,The Master's University,Santa Clarita
1120,1121,5219,Post University,Waterbury
1121,1122,6660,LeTourneau University,Longview
1122,1123,6698,Texas Wesleyan University,Fort Worth
1123,1124,6258,University of Jamestown,Jamestown
1124,1125,16904,Seattle Central College,Seattle
1125,1126,5338,Middle Georgia State University,Macon
1126,1127,6306,Malone University,Canton
1127,1128,5429,McKendree University,Lebanon
1128,1129,6816,City University of Seattle,Seattle
1129,1130,5127,Soka University of America,Aliso Viejo
1130,1131,6429,Delaware Valley University,Doylestown
1131,1132,6881,Northland College,Ashland
1132,1133,6785,Mary Baldwin University,Staunton
1133,1134,5886,Avila University,Kansas City
1134,1135,16885,Polk State College,Winter Haven
1135,1136,5480,"Anderson University, Indiana",Anderson
1136,1137,6261,Minot State University,Minot
1137,1138,5594,University of the Cumberlands,Williamsburg
1138,1139,6428,Misericordia University,Dallas
1139,1140,6362,Oklahoma Baptist University,Shawnee
1140,1141,6576,Dakota Wesleyan University,Mitchell
1141,1142,6305,Lourdes University,Sylvania
1142,1143,5140,Thomas Aquinas College,Santa Paula
1143,1144,6002,Caldwell University,Caldwell
1144,1145,5692,American International College,Springfield
1145,1146,6358,Langston University,Langston
1146,1147,5539,Grand View University,Des Moines
1147,1148,6545,Columbia International University,Columbia
1148,1149,5726,Massachusetts College of Liberal Arts,North Adams
1149,1150,5592,Campbellsville University,Campbellsville
1150,1151,6221,Johnson C. Smith University,Charlotte
1151,1152,5559,Des Moines University,Des Moines
1152,1153,16939,University of South Carolina-Beaufort,Bluffton
1153,1154,6197,Wells College,Aurora
1154,1155,5163,Vanguard University of Southern California,Costa Mesa
1155,1156,6040,Western New Mexico University,Silver City
1156,1157,6707,University of Houston-Victoria,Victoria
1157,1158,5391,Concordia University Chicago,River Forest
1158,1159,5819,Spring Arbor University,Spring Arbor
1159,1160,5895,College of the Ozarks,Point Lookout
1160,1161,6490,Rosemont College,Rosemont
1161,1162,6559,South Carolina State University,Orangeburg
1162,1163,5956,Chadron State College,Chadron
1163,1164,6460,Mansfield University of Pennsylvania,Mansfield
1164,1165,6420,PennWest California,California
1165,1166,5498,Indiana University Northwest,Gary
1166,1167,6268,Air Force Institute of Technology,Wright-Patterson AFB
1167,1168,14916,Cambridge College,Boston
1168,1169,16796,Ave Maria University,Ave Maria
1169,1170,5878,Mississippi Valley State University,Itta Bena
1170,1171,6207,Catawba College,Salisbury
1171,1172,6674,Southwestern Adventist University,Keene
1172,1173,5401,Rosalind Franklin University of Medicine and Science,North Chicago
1173,1174,6750,Northern Vermont University,Johnson
1174,1175,5494,Indiana Institute of Technology,Fort Wayne
1175,1176,6194,Wagner College,Staten Island
1176,1177,5619,Louisiana Christian University,Pineville
1177,1178,6024,Saint Peter's University,Jersey City
1178,1179,4982,Henderson State University,Arkadelphia
1179,1180,5193,Rocky Mountain College of Art and Design,Lakewood
1180,1181,6426,Cheyney University of Pennsylvania,Cheyney
1181,1182,5487,Franklin College,Franklin
1182,1183,6159,SUNY College at Old Westbury,Old Westbury
1183,1184,5576,MidAmerica Nazarene University,Olathe
1184,1185,5933,Stephens College,Columbia
1185,1186,5607,Spalding University,Louisville
1186,1187,6145,St. Francis College,Brooklyn
1187,1188,5406,Illinois College,Jacksonville
1188,1189,4974,University of Advancing Technology,Tempe
1189,1190,6313,University of Mount Union,Alliance
1190,1191,5352,Shorter University,Rome
1191,1192,6662,McMurry University,Abilene
1192,1193,7701,SUNY Canton,Canton
1193,1194,5722,Lasell University,Newton
1194,1195,6871,Lakeland University,Plymouth
1195,1196,6817,Cornish College of the Arts,Seattle
1196,1197,16847,Huntingdon College,Montgomery
1197,1198,6446,Immaculata University,Immaculata
1198,1199,5729,Massachusetts Maritime Academy,Buzzards Bay
1199,1200,6296,Hiram College,Hiram
1200,1201,5045,California Western School of Law,San Diego
1201,1202,5649,University of Maine at Augusta,Augusta
1202,1203,6216,Gardner-Webb University,Boiling Springs
1203,1204,5951,Rocky Mountain College,Billings
1204,1205,6267,Valley City State University,Valley City
1205,1206,16836,Florida SouthWestern State College,Fort Myers
1206,1207,5466,Trinity Christian College,Palos Heights
1207,1208,5332,Georgia Southwestern State University,Americus
1208,1209,5958,College of Saint Mary,Omaha
1209,1210,6899,Wisconsin Lutheran College,Milwaukee
1210,1211,6627,Tusculum University,Greeneville
1211,1212,5838,Crown College,St. Bonifacius
1212,1213,6224,Lees-McRae College,Banner Elk
1213,1214,5205,Albertus Magnus College,New Haven
1214,1215,6579,National American University,Rapid City
1215,1216,6454,Lancaster Bible College,Lancaster
1216,1217,6601,Freed-Hardeman University,Henderson
1217,1218,6879,Mount Mary University,Milwaukee
1218,1219,6536,Benedict College,Columbia
1219,1220,16906,Snow College,Ephraim
1220,1221,6001,Bloomfield College,Bloomfield
1221,1222,5908,Kansas City Art Institute,Kansas City
1222,1223,6546,Converse College,Spartanburg
1223,1224,9132,AdventHealth University,Orlando
1224,1225,6494,Saint Francis University,Loretto
1225,1226,6316,Northeast Ohio Medical University,Rootstown
1226,1227,6729,Wayland Baptist University,Plainview
1227,1228,6204,Bennett College,Greensboro
1228,1229,5549,Morningside University,Sioux City
1229,1230,6609,Lee University,Cleveland
1230,1231,6593,Bryan College,Dayton
1231,1232,6765,Averett University,Danville
1232,1233,5944,William Jewell College,Liberty
1233,1234,4936,Oakwood University,Huntsville
1234,1235,6096,Keuka College,Keuka Park
1235,1236,5632,Southern University at New Orleans,New Orleans
1236,1237,6825,Northwest University,Kirkland
1237,1238,6661,Lubbock Christian University,Lubbock
1238,1239,6517,Waynesburg University,Waynesburg
1239,1240,5564,Baker University,Baldwin City
1240,1241,5711,Eastern Nazarene College,Quincy
1241,1242,6003,Centenary University,Hackettstown
1242,1243,6774,Ferrum College,Ferrum
1243,1244,9105,William James College,Newton
1244,1245,6793,Randolph College,Lynchburg
1245,1246,6285,Cleveland Institute of Music,Cleveland
1246,1247,14933,New England Institute of Technology,East Greenwich
1247,1248,4992,University of Arkansas at Monticello,Monticello
1248,1249,5988,Franklin Pierce University,Rindge
1249,1250,5694,Anna Maria College,Paxton
1250,1251,14918,Dean College,Franklin
1251,1252,5984,Colby-Sawyer College,New London
1252,1253,6694,Texas Lutheran University,Seguin
1253,1254,5609,Thomas More University,Crestview Hills
1254,1255,5606,University of Pikeville,Pikeville
1255,1256,6555,Newberry College,Newberry
1256,1257,6466,Moore College of Art and Design,Philadelphia
1257,1258,6855,University of Charleston,Charleston
1258,1259,5348,Piedmont College,Demorest
1259,1260,5062,Fielding Graduate University,Santa Barbara
1260,1261,5807,Madonna University,Livonia
1261,1262,6823,Heritage University,Toppenish
1262,1263,6320,Ohio Dominican University,Columbus
1263,1264,16803,Bismarck State College,Bismarck
1264,1265,6112,Mount Saint Mary College,Newburgh
1265,1266,6617,Milligan University,Elizabethton
1266,1267,14908,Goodwin University,East Hartford
1267,1268,5080,John F. Kennedy University,Pleasant Hill
1268,1269,6009,Georgian Court University,Lakewood
1269,1270,5517,Saint Mary-of-the-Woods College,Saint Mary of the Woods
1270,1271,6205,Brevard College,Brevard
1271,1272,6597,Cumberland University,Lebanon
1272,1273,5489,Grace College,Winona Lake
1273,1274,6425,Chestnut Hill College,Philadelphia
1274,1275,6092,Houghton University,Houghton
1275,1276,5447,Quincy University,Quincy
1276,1277,16842,Harrisburg University of Science and Technology,Harrisburg
1277,1278,6570,Voorhees University,Denmark
1278,1279,7277,Thomas Jefferson School of Law,San Diego
1279,1280,16818,Columbia Basin College,Pasco
1280,1281,6847,Fairmont State University,Fairmont
1281,1282,6560,Southern Wesleyan University,Central
1282,1283,6245,Saint Augustine's University,Raleigh
1283,1284,16855,Lake Washington Institute of Technology,Kirkland
1284,1285,5316,Brenau University,Gainesville
1285,1286,6421,Carlow University,Pittsburgh
1286,1287,4993,University of Arkansas at Pine Bluff,Pine Bluff
1287,1288,5943,"Westminster College, Missouri",Fulton
